Timestamp,Acc_X,Acc_Y,Acc_Z,Activity
1581740152661,1.6208191,-31.605804,-6.1959534,RUNNING
1581740152678,-1.5299683,-34.65004,-8.482407,RUNNING
1581740152698,-8.712555,-36.227814,2.0724335,RUNNING
1581740152718,-5.1882935,-36.207474,7.1409607,RUNNING
1581740152739,-2.6289062,-32.140915,0.16184998,RUNNING
1581740152780,-14.933899,-23.437988,-6.12294,RUNNING
1581740152788,-32.443893,-14.25383,-3.7921753,RUNNING
1581740152798,-36.57628,-11.393951,1.6199188,RUNNING
1581740152819,-36.113007,-3.9276428,14.925705,RUNNING
1581740152859,-45.012253,16.757065,15.0035095,RUNNING
1581740152859,-65.932785,40.21068,-3.802948,RUNNING
1581740152886,-53.14775,37.18799,-5.420227,RUNNING
1581740152906,-20.90863,17.188034,19.427994,RUNNING
1581740152928,-1.0894165,9.994644,45.236298,RUNNING
1581740152947,5.822647,11.775925,37.336624,RUNNING
1581740152974,11.416702,14.192886,19.546509,RUNNING
1581740152987,13.333252,17.567505,5.395584,RUNNING
1581740153005,16.469666,20.937347,0.48986816,RUNNING
1581740153027,21.405304,19.163239,4.8317413,RUNNING
1581740153046,17.141235,16.924667,13.201874,RUNNING
1581740153078,-1.7933197,19.294922,18.104004,RUNNING
1581740153078,-12.850937,21.160019,18.024994,RUNNING
1581740153096,-8.729324,28.148682,17.756851,RUNNING
1581740153115,-24.717804,47.457916,28.412231,RUNNING
1581740153135,-58.75496,56.99762,25.605042,RUNNING
1581740153181,-61.528656,37.94934,14.1775055,RUNNING
1581740153182,-38.284546,0.2562256,14.4145355,RUNNING
1581740153194,-13.037689,-25.566437,15.63678,RUNNING
1581740153214,-4.7693176,-31.028809,10.314468,RUNNING
1581740153235,-5.846695,-33.68637,-7.70549,RUNNING
1581740153282,-3.0347137,-31.227524,-15.526154,RUNNING
1581740153282,-7.181473,-28.895569,-17.32779,RUNNING
1581740153303,-3.660797,-32.57187,-4.806122,RUNNING
1581740153327,-4.5634155,-34.360336,14.2517395,RUNNING
1581740153343,-19.12854,-26.35054,18.475098,RUNNING
1581740153370,-29.355377,-17.045471,6.1258087,RUNNING
1581740153382,-30.19693,-12.895126,-6.986038,RUNNING
1581740153403,-32.756332,-5.6143494,-12.970352,RUNNING
1581740153423,-55.741867,13.866074,-11.06337,RUNNING
1581740153443,-78.72859,25.863419,17.900497,RUNNING
1581740153462,-54.858414,30.684143,57.072037,RUNNING
1581740153487,-18.278595,24.823135,40.652603,RUNNING
1581740153495,-1.2438507,22.21585,12.486008,RUNNING
1581740153512,5.9076385,20.705109,1.7947083,RUNNING
1581740153532,9.995743,19.065079,6.8356934,RUNNING
1581740153551,13.865967,17.31253,16.903305,RUNNING
1581740153572,17.088562,15.508499,24.84967,RUNNING
1581740153591,17.932526,14.827347,25.312943,RUNNING
1581740153611,13.312897,16.980927,17.945984,RUNNING
1581740153632,-2.411026,22.574982,10.312073,RUNNING
1581740153651,-13.199295,22.0327,12.560226,RUNNING
1581740153673,-11.318649,19.631302,24.837692,RUNNING
1581740153717,-26.017853,27.28917,44.03441,RUNNING
1581740153719,-58.976425,31.659775,38.07045,RUNNING
1581740153730,-57.38788,21.024734,8.128555,RUNNING
1581740153766,-38.093002,7.3897552,-8.67276,RUNNING
1581740153769,-15.072769,-13.640915,2.2388306,RUNNING
1581740153790,-2.905426,-24.709305,23.809387,RUNNING
1581740153809,-13.007751,-30.511658,11.815628,RUNNING
1581740153830,-10.873337,-31.543564,-14.539749,RUNNING
1581740153849,1.6064606,-27.244766,-26.861511,RUNNING
1581740153896,3.3494263,-27.37645,-21.488922,RUNNING
1581740153899,-1.8412018,-32.21634,-0.13383484,RUNNING
1581740153918,-14.020508,-30.89473,15.26329,RUNNING
1581740153938,-24.471207,-23.026184,8.056732,RUNNING
1581740153968,-26.851028,-14.352005,-2.956604,RUNNING
1581740153977,-34.52446,-0.82714844,-7.613312,RUNNING
1581740153998,-55.4366,12.914383,-2.0132904,RUNNING
1581740154018,-67.590775,19.025574,29.562653,RUNNING
1581740154038,-48.64186,27.921234,54.524597,RUNNING
1581740154059,-25.668304,31.067215,40.616684,RUNNING
1581740154081,-6.818756,26.782791,25.516449,RUNNING
1581740154112,5.7268677,21.601746,14.834717,RUNNING
1581740154113,14.120941,20.361542,6.924286,RUNNING
1581740154143,17.416565,18.885513,8.984482,RUNNING
1581740154147,20.888153,15.678482,5.0412445,RUNNING
1581740154173,24.003006,11.783127,4.355301,RUNNING
1581740154185,15.24144,14.930298,3.5005646,RUNNING
1581740154206,0.6631317,18.383942,9.96492,RUNNING
1581740154226,-5.7293854,21.523926,22.388428,RUNNING
1581740154246,-13.445892,31.329376,24.483353,RUNNING
1581740154266,-37.590225,45.81909,25.713974,RUNNING
1581740154289,-56.564285,42.264893,28.874329,RUNNING
1581740154308,-43.97676,21.324005,21.515747,RUNNING
1581740154351,-31.699295,-2.2265625,11.393066,RUNNING
