Timestamp,Gyr_X,Gyr_Y,Gyr_Z,Activity
1581740379339,-0.7113037,-0.1585846,0.36875916,STAIRCLIMB
1581740379358,-0.68040466,-0.14047241,0.36024475,STAIRCLIMB
1581740379379,-0.57281494,0.06086731,0.3048401,STAIRCLIMB
1581740379398,-0.52593994,0.3197174,0.23561096,STAIRCLIMB
1581740379418,-0.4449768,0.21426392,0.24731445,STAIRCLIMB
1581740379442,-0.3118286,-0.123428345,0.21003723,STAIRCLIMB
1581740379488,-0.23086548,-0.33114624,0.1482544,STAIRCLIMB
1581740379488,-0.27027893,-0.28961182,0.21643066,STAIRCLIMB
1581740379497,-0.49717712,-0.07974243,0.4081726,STAIRCLIMB
1581740379517,-0.8210144,0.16845703,0.5264282,STAIRCLIMB
1581740379543,-0.9712219,0.24516296,0.42521667,STAIRCLIMB
1581740379557,-0.8114319,0.20787048,0.19406128,STAIRCLIMB
1581740379577,-0.46522522,0.13543701,-0.018997192,STAIRCLIMB
1581740379596,-0.18824768,0.15141296,-0.048828125,STAIRCLIMB
1581740379617,-0.17652893,0.32505798,0.16529846,STAIRCLIMB
1581740379640,-0.40237427,0.54981995,0.4731598,STAIRCLIMB
1581740379675,-0.7113037,0.7117462,0.5946045,STAIRCLIMB
1581740379681,-0.9477844,0.55940247,0.39645386,STAIRCLIMB
1581740379695,-0.8881378,0.21958923,0.06942749,STAIRCLIMB
1581740379715,-0.56962585,0.13117981,-0.001953125,STAIRCLIMB
1581740379761,-0.25642395,0.22917175,0.23561096,STAIRCLIMB
1581740379761,-0.09237671,0.55940247,0.5051117,STAIRCLIMB
1581740379775,-0.17759705,0.59776306,0.5147095,STAIRCLIMB
1581740379794,-0.7752075,-0.11810303,0.08859253,STAIRCLIMB
1581740379815,-1.5358124,-1.1833649,-0.45362854,STAIRCLIMB
1581740379836,-2.1493988,-1.6094666,-0.73165894,STAIRCLIMB
1581740379873,-2.3997498,-1.4326324,-0.89038086,STAIRCLIMB
1581740379881,-2.1302338,-0.928772,-0.99157715,STAIRCLIMB
1581740379895,-1.3355408,-0.00730896,-0.9798584,STAIRCLIMB
1581740379915,-0.24897766,0.77778625,-1.084259,STAIRCLIMB
1581740379959,0.41255188,0.7990875,-1.3729401,STAIRCLIMB
1581740379959,0.15689087,0.70321655,-1.3218079,STAIRCLIMB
1581740379974,-0.6186218,1.043045,-0.8232727,STAIRCLIMB
1581740379994,-1.2098389,1.5202789,-0.23843384,STAIRCLIMB
1581740380014,-1.1991882,1.6225433,-0.0115356445,STAIRCLIMB
1581740380036,-0.6825409,1.0377197,-0.25335693,STAIRCLIMB
1581740380074,-0.23832703,0.36447144,-0.715683,STAIRCLIMB
1581740380075,-0.20529175,-0.49520874,-1.1396484,STAIRCLIMB
1581740380096,-0.06468201,-1.0129242,-1.4784088,STAIRCLIMB
1581740380112,0.2879181,-0.65286255,-1.5796051,STAIRCLIMB
1581740380154,0.284729,0.28457642,-0.654953,STAIRCLIMB
1581740380168,0.30921936,1.1921692,0.2782135,STAIRCLIMB
1581740380171,0.6426544,1.2773895,0.64678955,STAIRCLIMB
1581740380192,1.2690277,0.8076172,0.8545227,STAIRCLIMB
1581740380213,1.8655701,0.4038849,0.94506836,STAIRCLIMB
1581740380234,2.0775604,0.34848022,0.89819336,STAIRCLIMB
1581740380274,2.1222992,0.49549866,0.78634644,STAIRCLIMB
1581740380274,2.0615845,0.9056244,0.66064453,STAIRCLIMB
1581740380292,1.9156494,1.158081,0.4316101,STAIRCLIMB
1581740380311,1.3808746,0.045944214,0.33255005,STAIRCLIMB
1581740380335,0.4924469,-0.87976074,0.23027039,STAIRCLIMB
1581740380351,-0.056167603,-0.52716064,-0.028579712,STAIRCLIMB
1581740380370,-0.26176453,-0.04246521,-0.2192688,STAIRCLIMB
1581740380391,-0.42155457,0.31759644,-0.15428162,STAIRCLIMB
1581740380410,-0.60476685,0.45394897,-0.09249878,STAIRCLIMB
1581740380433,-0.6686859,0.2046814,-0.21287537,STAIRCLIMB
1581740380479,-0.44285583,-0.13621521,-0.40568542,STAIRCLIMB
1581740380479,-0.032730103,-0.39187622,-0.56015015,STAIRCLIMB
1581740380491,0.2144165,-0.5420685,-0.6251373,STAIRCLIMB
1581740380509,0.33372498,-0.34074402,-0.46640015,STAIRCLIMB
1581740380533,0.41255188,0.057662964,-0.13298035,STAIRCLIMB
1581740380548,0.1313324,0.52531433,0.110961914,STAIRCLIMB
1581740380570,-0.6548462,0.92585754,0.38580322,STAIRCLIMB
1581740380589,-1.3600464,0.52638245,0.6744995,STAIRCLIMB
1581740380609,-1.6551208,-0.4643097,0.6329498,STAIRCLIMB
1581740380634,-1.3280945,-1.0938873,0.38900757,STAIRCLIMB
1581740380679,-0.60476685,-0.8584595,0.51789856,STAIRCLIMB
1581740380679,-0.15629578,-0.17668152,1.0153809,STAIRCLIMB
1581740380689,0.0887146,0.5711212,1.2380219,STAIRCLIMB
1581740380707,0.19311523,0.7245178,1.0814209,STAIRCLIMB
1581740380736,0.18991089,0.24302673,0.8907471,STAIRCLIMB
1581740380748,0.20909119,-0.057373047,0.79060364,STAIRCLIMB
1581740380767,0.09510803,-0.29386902,0.6553192,STAIRCLIMB
1581740380787,-0.013549805,-0.53674316,0.3559723,STAIRCLIMB
1581740380807,0.07060242,-0.43447876,0.10458374,STAIRCLIMB
1581740380827,0.15475464,-0.076553345,-0.1404419,STAIRCLIMB
1581740380848,0.2101593,0.29734802,-0.2320404,STAIRCLIMB
1581740380867,0.4423828,0.486969,-0.09036255,STAIRCLIMB
1581740380887,0.716156,0.56900024,0.068359375,STAIRCLIMB
1581740380906,0.6820679,0.4315796,0.09072876,STAIRCLIMB
1581740380941,0.37846375,0.4177246,0.05343628,STAIRCLIMB
1581740380946,0.07485962,0.35594177,0.044921875,STAIRCLIMB
1581740380966,0.004562378,0.097076416,0.068359375,STAIRCLIMB
1581740380986,0.101501465,-0.12554932,0.06303406,STAIRCLIMB
1581740381007,0.34118652,-0.37802124,-0.013671875,STAIRCLIMB
1581740381027,0.5254669,-0.692276,-0.2554779,STAIRCLIMB
1581740381059,0.3433075,-0.72850037,-0.493042,STAIRCLIMB
1581740381065,-0.17120361,-0.3620453,-0.49943542,STAIRCLIMB
1581740381087,-0.5515137,0.11732483,-0.30874634,STAIRCLIMB
1581740381105,-0.48120117,0.2131958,-0.16600037,STAIRCLIMB
1581740381141,-0.119018555,-0.09466553,-0.28211975,STAIRCLIMB
1581740381145,0.14517212,-0.3620453,-0.58891296,STAIRCLIMB
1581740381165,0.11001587,-0.24913025,-0.750824,STAIRCLIMB
1581740381185,-0.034851074,0.12371826,-0.63790894,STAIRCLIMB
1581740381205,0.06314087,0.47631836,-0.5015564,STAIRCLIMB
1581740381226,0.33691406,0.5476837,-0.5036926,STAIRCLIMB
1581740381262,0.52227783,0.30267334,-0.60809326,STAIRCLIMB
1581740381263,0.54571533,0.050216675,-0.66560364,STAIRCLIMB
1581740381286,0.4146881,-0.10850525,-0.4983673,STAIRCLIMB
1581740381304,0.2794037,-0.18414307,-0.25975037,STAIRCLIMB
1581740381345,0.29537964,-0.15963745,-0.20115662,STAIRCLIMB
1581740381345,0.40829468,-0.13833618,-0.317276,STAIRCLIMB
1581740381362,0.50842285,-0.2097168,-0.54629517,STAIRCLIMB
1581740381382,0.47328186,-0.27256775,-0.687973,STAIRCLIMB
1581740381403,0.32839966,-0.15538025,-0.53352356,STAIRCLIMB
1581740381424,0.190979,-0.023284912,-0.24803162,STAIRCLIMB
1581740381458,0.075927734,-0.041397095,-0.0786438,STAIRCLIMB
1581740381465,-0.103027344,-0.09892273,-0.07331848,STAIRCLIMB
1581740381481,-0.36828613,0.032104492,-0.16174316,STAIRCLIMB
1581740381502,-0.5792084,0.32824707,-0.13191223,STAIRCLIMB
1581740381542,-0.46202087,0.3378296,0.14932251,STAIRCLIMB
1581740381542,-0.09025574,0.07684326,0.5072479,STAIRCLIMB
1581740381561,0.27301025,-0.24806213,0.57328796,STAIRCLIMB
1581740381582,0.50416565,-0.38760376,0.40498352,STAIRCLIMB
1581740381601,0.4700775,-0.15431213,0.3336029,STAIRCLIMB
1581740381622,0.19737244,0.19508362,0.48062134,STAIRCLIMB
1581740381658,-0.02633667,0.17485046,0.6776886,STAIRCLIMB
1581740381660,-0.19677734,-0.16070557,0.7043152,STAIRCLIMB
1581740381680,-0.36828613,-0.42915344,0.53707886,STAIRCLIMB
1581740381700,-0.42474365,-0.40145874,0.34106445,STAIRCLIMB
1581740381743,-0.32247925,-0.123428345,0.24305725,STAIRCLIMB
1581740381754,-0.14031982,0.094955444,0.24198914,STAIRCLIMB
1581740381760,-0.018875122,0.01612854,0.25265503,STAIRCLIMB
1581740381779,-0.012481689,-0.18840027,0.21003723,STAIRCLIMB
1581740381800,0.03225708,-0.27468872,0.11842346,STAIRCLIMB
1581740381821,0.20909119,-0.18946838,0.01083374,STAIRCLIMB
1581740381858,0.41362,0.033172607,-0.029647827,STAIRCLIMB
1581740381860,0.41255188,0.22277832,0.017227173,STAIRCLIMB
1581740381879,0.14517212,0.21958923,0.10777283,STAIRCLIMB
1581740381899,-0.193573,0.029968262,0.08433533,STAIRCLIMB
1581740381942,-0.3576355,-0.19586182,-0.040298462,STAIRCLIMB
1581740381944,-0.26281738,-0.3396759,-0.13830566,STAIRCLIMB
1581740381958,-0.10409546,-0.35351562,-0.08929443,STAIRCLIMB
1581740381978,-0.06575012,-0.18946838,0.16529846,STAIRCLIMB
1581740381998,-0.15415955,0.25367737,0.3005829,STAIRCLIMB
1581740382019,-0.35017395,0.7394409,0.19725037,STAIRCLIMB
1581740382053,-0.5472412,0.8811188,-0.07652283,STAIRCLIMB
1581740382057,-0.4918518,0.50187683,-0.27252197,STAIRCLIMB
1581740382077,-0.16482544,-0.22782898,-0.4035492,STAIRCLIMB
1581740382096,0.075927734,-0.57722473,-0.5771942,STAIRCLIMB
1581740382118,0.066345215,-0.23953247,-0.70396423,STAIRCLIMB
1581740382136,0.0034942627,0.36447144,-0.6645508,STAIRCLIMB
1581740382156,0.03225708,0.62864685,-0.51753235,STAIRCLIMB
1581740382180,0.036514282,0.34848022,-0.4046173,STAIRCLIMB
1581740382195,-0.0018310547,-0.123428345,-0.33750916,STAIRCLIMB
1581740382217,0.03012085,-0.32795715,-0.26080322,STAIRCLIMB
1581740382250,0.09510803,-0.16497803,-0.129776,STAIRCLIMB
1581740382259,0.12812805,0.09814453,0.033203125,STAIRCLIMB
1581740382275,0.21548462,0.18656921,0.101379395,STAIRCLIMB
1581740382296,0.3305359,0.050216675,0.01083374,STAIRCLIMB
1581740382315,0.35183716,-0.29812622,-0.17771912,STAIRCLIMB
1581740382343,0.22932434,-0.5910797,-0.33537292,STAIRCLIMB
1581740382358,0.12599182,-0.565506,-0.37478638,STAIRCLIMB
1581740382376,0.15370178,-0.3663025,-0.34709167,STAIRCLIMB
1581740382395,0.12705994,-0.12449646,-0.2693329,STAIRCLIMB
1581740382418,0.03225708,-0.036071777,-0.18411255,STAIRCLIMB
1581740382463,-0.06788635,-0.0690918,-0.081848145,STAIRCLIMB
1581740382469,-0.17866516,-0.066970825,0.00869751,STAIRCLIMB
1581740382478,-0.32887268,0.009735107,0.02255249,STAIRCLIMB
1581740382494,-0.5014343,0.09069824,-0.031784058,STAIRCLIMB
1581740382526,-0.6633606,0.21640015,0.047058105,STAIRCLIMB
1581740382536,-0.85723877,0.38256836,0.4316101,STAIRCLIMB
1581740382554,-0.99147034,0.36447144,0.76930237,STAIRCLIMB
1581740382573,-0.84765625,0.20573425,0.71177673,STAIRCLIMB
1581740382594,-0.4556427,-0.00091552734,0.3282776,STAIRCLIMB
1581740382615,-0.21914673,0.05873108,0.16529846,STAIRCLIMB
1581740382663,-0.33631897,0.3612671,0.48913574,STAIRCLIMB
1581740382663,-0.5717468,0.34210205,0.8534546,STAIRCLIMB
1581740382672,-0.7368622,-0.08294678,0.89393616,STAIRCLIMB
1581740382692,-0.7858734,-0.5569916,0.66490173,STAIRCLIMB
1581740382715,-0.6591034,-0.8456726,0.45611572,STAIRCLIMB
1581740382731,-0.44604492,-0.7711029,0.3719635,STAIRCLIMB
1581740382752,-0.116882324,-0.4653778,0.38261414,STAIRCLIMB
1581740382772,0.35395813,-0.2693634,0.3612976,STAIRCLIMB
1581740382791,0.65437317,-0.2331543,0.20471191,STAIRCLIMB
1581740382816,0.7704773,-0.20118713,0.03427124,STAIRCLIMB
1581740382831,0.7864685,-0.058441162,-0.041366577,STAIRCLIMB
1581740382859,0.6607666,0.120513916,-0.020065308,STAIRCLIMB
1581740382874,0.47647095,0.217453,-0.001953125,STAIRCLIMB
1581740382889,0.31987,0.18869019,-0.023254395,STAIRCLIMB
1581740382910,0.24104309,0.07470703,-0.03390503,STAIRCLIMB
1581740382930,0.20376587,-0.078689575,0.059829712,STAIRCLIMB
1581740382950,0.17074585,-0.22462463,0.18766785,STAIRCLIMB
1581740382969,0.2144165,-0.27789307,0.207901,STAIRCLIMB
1581740382991,0.32626343,-0.31410217,0.101379395,STAIRCLIMB
1581740383011,0.5148163,-0.32582092,-0.042434692,STAIRCLIMB
1581740383039,0.812027,-0.35671997,-0.18623352,STAIRCLIMB
1581740383050,1.0335999,-0.33221436,-0.23631287,STAIRCLIMB
1581740383070,0.842926,-0.004119873,-0.20115662,STAIRCLIMB
1581740383089,0.16114807,0.533844,-0.070129395,STAIRCLIMB
1581740383122,-0.5983734,0.7926941,0.12374878,STAIRCLIMB
1581740383128,-0.72514343,0.46141052,0.122680664,STAIRCLIMB
1581740383148,-0.105163574,-0.3354187,-0.16386414,STAIRCLIMB
1581740383169,0.54039,-0.8509979,-0.39183044,STAIRCLIMB
1581740383189,0.52227783,-0.7370148,-0.37799072,STAIRCLIMB
1581740383211,-0.04017639,-0.24487305,-0.2469635,STAIRCLIMB
1581740383242,-0.47587585,0.2558136,-0.2043457,STAIRCLIMB
1581740383247,-0.37574768,0.3847046,-0.2980957,STAIRCLIMB
1581740383268,0.004562378,0.2866974,-0.38970947,STAIRCLIMB
1581740383288,0.30921936,0.14183044,-0.3811798,STAIRCLIMB
1581740383322,0.3209381,0.010803223,-0.31939697,STAIRCLIMB
1581740383337,0.12173462,-0.043533325,-0.2320404,STAIRCLIMB
1581740383346,-0.043380737,0.11199951,-0.16174316,STAIRCLIMB
1581740383366,0.11428833,0.23556519,-0.20648193,STAIRCLIMB
1581740383387,0.4647522,0.1897583,-0.3012848,STAIRCLIMB
1581740383409,0.7129669,0.02571106,-0.3162079,STAIRCLIMB
1581740383444,0.73213196,-0.12661743,-0.24803162,STAIRCLIMB
1581740383446,0.55422974,-0.13726807,-0.2043457,STAIRCLIMB
1581740383467,0.25701904,0.034240723,-0.17453003,STAIRCLIMB
1581740383486,-0.015686035,0.2909546,-0.1212616,STAIRCLIMB
1581740383522,-0.03805542,0.3804474,-0.09036255,STAIRCLIMB
1581740383534,0.20588684,0.311203,-0.13084412,STAIRCLIMB
1581740383545,0.45089722,0.2909546,-0.19369507,STAIRCLIMB
1581740383566,0.3124237,0.37724304,-0.13830566,STAIRCLIMB
1581740383585,-0.34378052,0.35380554,0.091796875,STAIRCLIMB
